Epoch,fp32_loss
Epoch,fp32_loss
1,5.618934059143067
2,4.479337692260742
3,3.6851372718811035
4,3.0230522632598875
5,2.5440652847290037
0.08
Epoch,fp32_loss
1,5.508183070591518
2,4.208155836377825
3,3.4485099656241283
4,2.858029229300363
5,2.384242228099278
0.1
Epoch,fp32_loss
1,5.508199964250837
2,4.208258492606027
3,3.4486916746412004
4,2.8628779479435513
5,2.3656769820622037
0.1
Epoch,fp32_loss
1,5.508171558380127
2,4.208301203591483
3,3.4507250785827637
4,2.866776602608817
5,2.372115816388811
0.1
